"","X","2 1 p1_1","2 1 p2_1","2 1 p1_2","2 1 p2_2","V5","2 2 p1_1","2 2 p2_1","2 2 p1_2","2 2 p2_2","V5","2 3 p1_1","2 3 p2_1","2 3 p1_2","2 3 p2_2","V5","2 4 p1_1","2 4 p2_1","2 4 p1_2","2 4 p2_2","V5","2 5 p1_1","2 5 p2_1","2 5 p1_2","2 5 p2_2","V5","2 6 p1_1","2 6 p2_1","2 6 p1_2","2 6 p2_2","V5"
"1",1,"pilu *","faludelu *","pilu ","pilu ","","romembe *","rombembe *","pilu *","rombeber *","","rombeber ","rombeber ","rombeber ","romkbeber *","","romkbebe ","romkbebe *","romkbebe ","romkbebe ","","romkbebe *","falucito *","romkbebe *","falulito *","","rombebe *","romkbebe *","romkbebe ","romkbebe ",""
"2",2,"neroro *","fukopo *","neroro *","fukopo ","","pilu *","pilu ","pilu *","romembe *","","romembe ","romembe ","rombembo *","romembe *","","rombembe *","rombebe *","rombebe ","rombebe ","","rombebe ","rombebo *","romkbebo *","rombebo ","","romkbebo ","romkbebo ","romkbebo ","romkbebe *",""
"3",3,"foopo *","neroro *","faludelu *","tajuba *","","pilu *","pilu ","pilu *","rombembo *","","rombembo ","rombembo ","rombembo ","rombembo ","","romkbebe *","romkbebe ","rombembo *","rombebo *","","rombembo *","rombebo *","rombebo *","faculito *","","rombebo *","romkbebo *","rombebo *","ronbebo *",""
"4",4,"pilu *","doje ","doje *","doje ","","pilu *","rombembo *","pilu ","pilu ","","pilu ","pilu ","pilu ","pilu ","","pilu ","pilu ","pilu ","pilu ","","pilu ","pilu ","pilu ","pilu ","","pilu ","pilu ","pilu ","romkbebe *",""
"5",5,"neroro *","doje *","neroro ","neroro ","","pilu ","pilu *","romembe *","rombembe *","","bobembo *","romembe *","rombembe *","rombembe ","","romkbebe *","rombembe *","romkbebe ","romkbebe *","","romkbebo *","romkbebe ","romkbebe *","ronbebo *","","romkbebe ","ronbebe *","ronbebe ","ronbebe ",""
"6",6,"fokopo *","tabuja *","dejo *","neroro *","","pilu ","pilu ","pilu *","rombembe *","","rombembe ","rombembe ","rombembe ","rombembo *","","rombembo *","rombebe *","rombebo ","rombebo *","","romkbebe *","romkbebo *","ronbebo *","romkbebo *","","ronbebo ","ronbebo ","ronbebo ","ronbebo ",""
"7",7,"timajeba ","timajeba *","tajibe *","sitobuna *","","romembe *","falucite *","robembe *","falucito *","","falucito *","rombembe *","falucito ","falucito ","","faculito *","falucito ","faculito ","falucito *","","faculito ","faculito ","faculito ","rombebe *","","faculito ","faculito ","faculito *","falucito *",""
"8",8,"pilu *","kipe *","doje *","kipe ","","falucitu ","filocute *","robembe *","faculito *","","faculito ","faculito ","faculito ","faculito ","","faculito ","faculito ","faculito ","faculito ","","faculito *","falucito *","facultito *","rombebo *","","facultito ","ronbebo *","facultito ","facultito *",""
"9",9,"faludelu ","faludelu ","tobuba *","faludelu *","","robembe *","rombembe *","falucitu *","rombembe *","","falucito *","rombembe ","faculito *","faculito ","","faculito ","faculito ","faculito ","rombebo *","","faculito ","falucito *","faculito *","falucito ","","faculito ","faculito ","faculito ","faculito ",""
"10",10,"doje *","doje ","tejimabe *","tajeba *","","falucitu *","falucito *","falucitu *","rombembe *","","falucito *","falucito ","faculito *","falucit *","","falucito *","faculito *","rombebe *","falucito ","","rombebe *","faculito *","falucito *","rombebe *","","falucito ","falucito ","falucito ","falucito ",""
"11",11,"timajeba *","romiba *","talulu *","romiba *","","falucito *","faculito *","falucitu *","faculito *","","faculito ","rombembe *","faculito ","faculito *","","falucit *","falucito *","falucito *","faculito *","","falucito ","falucito ","rombebe *","ronkbebe *","","falucito *","facultito *","falucito ","romkbebe *",""
"12",12,"fukopo *","faludelu *","faludelu ","tajibe *","","falucito *","faciluto *","romembo *","faculito *","","faculito ","rombembe *","faculito ","faculito *","","falucito *","faculito *","falucito *","faculito ","","falucito ","falucito ","falucito *","falulito *","","faculito *","romkbebo *","falucito *","ronbebo *",""
