"","X","3 1 p1_1","3 1 p2_1","3 1 p1_2","3 1 p2_2","V5","3 2 p1_1","3 2 p2_1","3 2 p1_2","3 2 p2_2","V5","3 3 p1_1","3 3 p2_1","3 3 p1_2","3 3 p2_2","V5","3 4 p1_1","3 4 p2_1","3 4 p1_2","3 4 p2_2","V5","3 5 p1_1","3 5 p2_1","3 5 p1_2","3 5 p2_2","V5","3 6 p1_1","3 6 p2_1","3 6 p1_2","3 6 p2_2","V5"
"1",1,"kisa *","kemusije ","romiba ","romiva ","","romiba ","romiba ","romiba ","romiba ","","romiba ","romiba ","romiva ","romiva ","","romiva ","romiva ","remuva ","rremuva *","","zurejee ","remuve ","remuvaa ","remuba ","","remuvaa ","remuba ","remuva ","remuva ",""
"2",2,"neporo *","romiba ","romive ","neruver *","","romiva ","nuveru *","romiaz ","romiaz ","","romiaz ","neru ","romive ","romi ","","romive ","romive ","romuve *","remuvec *","","romive ","remuve ","remuve ","vremuve *","","vremuve ","vremuvaa ","vremuvaa ","vremuvaa ",""
"3",3,"zeje ","zeje *","romiaz *","neruzeje ","","nezurejee *","romiaz ","nezureje ","neruzeje ","","neruzeje ","neuzeje *","neruzeje ","neru ","","neruzeje ","neru ","neruzeje ","neruzeje ","","zureje ","zureje ","vremuve ","remuva ","","zureje ","zureje ","zureje ","zureje ",""
"4",4,"romizeje ","romizeje *","robimaa *","romiba ","","romibaa ","romibaa ","romibaa ","romibaa ","","romiba ","romi ","romiva ","romi ","","romiva ","romiva ","romiva ","remuva *","","remuve ","remua *","renuva *","remuvaa *","","remuvaa ","remuba ","remuvaa ","remuvaa ",""
"5",5,"pilu ","nepu *","nezuve *","romiva *","","romive ","romive ","romiva ","romive ","","romive ","romi ","romive ","neru ","","romive ","romive ","remuve ","remuve *","","remua ","romive ","remuvee ","remuve ","","vremuvaa ","vremuvaa *","vremuvaa ","vremuvaa ",""
"6",6,"faludapu *","nezu *","neruzeje ","neruzeje ","","nezureje *","romiaz ","nezureje ","neruzeje ","","neruzeje ","neru ","neruzeje ","neruzeje ","","neruzeje ","neruzeje ","neruzeje ","neruzeje ","","remubaa *","zunejee *","remuve ","zureje ","","remuva ","zureje ","zureje ","zureje ",""
"7",7,"romiba ","romiba ","romiba ","romiba ","","romiba ","romiba ","romiba ","romiba ","","romiba ","romi *","romiba ","romi ","","romiba ","romiba ","remuba ","remuuba *","","remuve ","remuuba ","remuvee ","remuba ","","remuba ","remuba ","remuba ","remuba ",""
"8",8,"nupuu *","nerudopu *","romiva ","romiva ","","neruje ","neruje *","romiva ","romive ","","romive ","romive ","romive ","romi ","","romive ","romibe ","remuve ","remuba ","","remuvee *","remuvee ","remuva ","remuvee ","","vremuve ","vremuba *","vremuba ","vremuba ",""
"9",9,"kemu *","neru *","neru ","nezuve ","","neru ","neru ","neru ","neru ","","neru ","neru ","neru ","neru ","","neru ","neruzeje ","neru ","neruseje *","","zureje ","zureje *","remuva ","zueje *","","reaje *","zueje ","zueje ","zureje ",""
"10",10,"romiba ","romibaa *","romiba ","romibaa ","","romibaa ","romiva ","romiba ","romiva ","","romibaa ","romi ","romiba ","romiba ","","romiba ","romiba ","remuba ","remuba *","","remuba ","remuba ","remuba ","remuba ","","remuba ","remuba ","remuba ","remuba ",""
"11",11,"neruporo *","nepu ","romive *","romiver *","","romive ","romive ","romiva ","romive ","","romive ","romive ","romive ","romi ","","romive ","romibe *","remuve ","romibe ","","remuve ","remuve ","remuvee ","remuvee ","","vremuve ","vremuva *","vremubaa *","vremuba ",""
"12",12,"neruzeje ","neruzeje *","neruzejee *","neruzejee ","","nezurejee ","neruzejee ","nezurejee ","neruzejee ","","neruzejee ","neruzeje ","neruzejee ","neru ","","neruzejee ","neruzejee ","neruzejee ","neruzejee ","","remuve ","zurejee *","remuva ","zureje ","","zeaje *","zureje ","zueje ","zureje ",""
