"","X","1 1 p1_1","1 1 p2_1","1 1 p1_2","1 1 p2_2","V5","1 2 p1_1","1 2 p2_1","1 2 p1_2","1 2 p2_2","V5","1 3 p1_1","1 3 p2_1","1 3 p1_2","1 3 p2_2","V5","1 4 p1_1","1 4 p2_1","1 4 p1_2","1 4 p2_2","V5","1 5 p1_1","1 5 p2_1","1 5 p1_2","1 5 p2_2","V5","1 6 p1_1","1 6 p2_1","1 6 p1_2","1 6 p2_2","V5"
"1",1,"tezadu ","zetabu *","faludelu ","doje ","","doje ","faludelu ","faludefa ","faludelu ","","kamijace ","kamijace ","kamijace ","keroro *","","kamikazu ","kamijace ","faludefa ","faludefa ","","kamijace ","kamijazu ","faludefa ","faludefa ","","falepa *","kamijace ","falepa ","piloluuu *",""
"2",2,"zetuba ","doje ","doje ","neroro ","","faludela ","faludelu ","faludelu ","faludelu ","","faludelu ","faludefu ","neroro ","kamijazu *","","neroro ","kamikazu ","pilu ","kamikazu ","","pilu ","kamikazu ","pilu ","kamikazu ","","pipeloc *","kamikace *","kamicazuu *","piru *",""
"3",3,"doje ","neroro ","doje ","doje ","","doje ","doje ","faludelu ","faludelu ","","faludelu ","faludefu ","kamijace ","neroro ","","neroro ","neroro ","pilu ","neroro ","","neroro ","neroro ","neroro ","neroro ","","neroro ","neroro ","kamicazuneroro *","neroro ",""
"4",4,"kesumije *","zetuba *","kamijace *","doje ","","kamijace ","kamijace ","kamijace ","kamijace ","","kamijace ","kamijace ","kamijace ","kamijace ","","pilu ","kamijace ","pilu ","kamijace ","","kamijace ","kamijace ","faludefa ","kamijace ","","kamijace ","kamijace ","kamijace ","kamijace ",""
"5",5,"niza *","neroro ","faludelu ","tezuja ","","faludelu ","faludelu ","doje ","faludelu ","","faludelu ","pilu ","kamidefa ","kamidefa *","","neroro ","kamikazu *","kamijazu ","kamikazu ","","kamikazu ","kamijace ","kamikazu ","kamikazu ","","kamijace ","kamizaku *","kamicazu ","kamukazu *",""
"6",6,"doje ","doje ","neroro ","neroro ","","faludalu *","neroro ","faludelu ","neroro ","","faludelu ","neroro ","faludelu ","neroro ","","pilu ","kamijace ","neroro ","kamikazu ","","neroro ","kamikazu ","neroro ","kamikazu ","","kamicazu ","polikazu ","kamicazuneroro ","kamicace *",""
"7",7,"faludela *","doje ","faludela ","faludela ","","faludefa *","faludefa ","faludefa ","faludela ","","faludefa ","faludefa ","faludefa ","faludefu ","","kamijace ","neroro ","kamijace ","faludefa ","","faludefa ","neroro ","faludefa ","faludefa ","","neroro ","polikazu *","falepa ","pilolu ",""
"8",8,"pilu ","pilu ","pilu ","pilu ","","pilu ","pilu ","pilu ","pilu ","","pilu ","faludelu ","faludefa ","pilu ","","kamikazu ","pilu ","neroro ","pilu ","","pilu ","pilu ","pilu ","pilu ","","pilo *","pelolu *","pilo ","pilu ",""
"9",9,"doje ","doje ","faludela ","neroro ","","pilu ","faludela ","pilu ","faludela ","","faludefu ","neroro ","faludefu ","neroro ","","pilu ","neroro ","neroro ","neroro ","","neroro ","neroro ","neroro ","neroro ","","policazu *","naroro *","neroro ","neroro ",""
"10",10,"faludela ","faludela ","tezuja *","faludela ","","tezuja ","tezuja ","faludefa ","faludefa ","","faludefa ","faludefa ","faludefa ","faludefa ","","pilu ","neroro ","pilu ","faludefa ","","faludefa ","faludefa ","faludefu ","faludefa ","","falepa ","pileloc *","piloluuuu *","pilolu *",""
"11",11,"faludela ","zetuba ","faludela ","tezuja ","","faludelu ","faludela ","faludelu ","faludela ","","pilu ","pilu ","faludefu ","pilu ","","neroro ","pilu ","neroro ","pilu ","","pilu ","pilu ","kamikazu ","kamikazu ","","kamicazu *","kamicazu ","piluuu *","kamikazu ",""
"12",12,"tezadu ","doje ","doje ","doje ","","doje ","doje ","faludefu *","doje ","","faludelu ","pilu ","faludefu ","faludefu ","","neroro ","pilu ","neroro ","faludefu ","","faludefu ","kamikazu ","kamikazu ","kamijazu ","","kamicazu ","kamikazu ","nerorooo *","kamikazu ",""
